Time,pair,open,high,low,close,volume,rsi_6,macd
2017-12-04 19:00:00,ETH/USDT,465.15,465.87,457.0,460.53,1076.35739,35.34635910963932,-0.21055251891635862
2017-12-04 20:00:00,ETH/USDT,460.33,469.58,452.0,453.11,1116.37116,23.182845212112653,-1.1231699581846897
2017-12-04 21:00:00,ETH/USDT,453.74,457.39,451.68,454.35,905.23694,28.141795531377554,-1.7264665848687173
2017-12-04 22:00:00,ETH/USDT,453.73,464.25,445.0,457.16,1260.35058,38.87262234672011,-1.955300505092623
2017-12-04 23:00:00,ETH/USDT,457.16,464.25,453.3,461.76,1668.57352,52.73725887006044,-1.7453521462358026
2017-12-05 00:00:00,ETH/USDT,461.08,463.5,453.1,459.51,1395.23998,46.5411912205373,-1.74045981782956
2017-12-05 01:00:00,ETH/USDT,459.5,460.02,453.64,456.49,941.27929,39.135362982847646,-1.9577041779918432
2017-12-05 02:00:00,ETH/USDT,455.08,459.98,454.63,457.1,900.2354,41.395682780976855,-2.056938885492343
2017-12-05 03:00:00,ETH/USDT,457.09,459.97,447.5,452.39,1201.61772,30.79820388160718,-2.4869724724458706
2017-12-05 04:00:00,ETH/USDT,452.38,454.94,448.59,454.48,424.13227,39.09998930908402,-2.628828160543833
2017-12-05 05:00:00,ETH/USDT,454.48,463.0,454.48,459.03,1195.28701,53.63182546622273,-2.347047538278332
2017-12-05 06:00:00,ETH/USDT,459.01,462.96,456.23,460.15,758.49631,56.684853442956,-2.0101875346425686
2017-12-05 07:00:00,ETH/USDT,460.03,462.04,458.47,461.17,768.6165,59.59246594944608,-1.6419902379519726
2017-12-05 08:00:00,ETH/USDT,461.16,466.97,458.83,466.67,822.5979,71.82869247482265,-0.8960579942433924
2017-12-05 09:00:00,ETH/USDT,466.66,468.67,462.4,464.0,852.24186,61.05770638946935,-0.5144181110614454
2017-12-05 10:00:00,ETH/USDT,463.52,465.85,460.42,462.77,753.27645,56.38373110723297,-0.3076698480434743
2017-12-05 11:00:00,ETH/USDT,462.59,468.0,462.23,464.06,1226.16703,60.21651710624419,-0.03927539869278007
2017-12-05 12:00:00,ETH/USDT,464.48,466.48,462.99,464.5,1068.97748,61.597750092694284,0.2065524507835903
2017-12-05 13:00:00,ETH/USDT,464.63,466.45,460.0,462.32,1245.563,51.058348226893465,0.22289560976622624
2017-12-05 14:00:00,ETH/USDT,461.93,463.96,460.13,462.21,878.23681,50.534797123706944,0.22438502937052363
2017-12-05 15:00:00,ETH/USDT,462.21,464.99,462.2,464.0,756.52105,58.786972179185064,0.365786882002169
2017-12-05 16:00:00,ETH/USDT,463.44,467.58,463.0,465.99,870.14726,66.2896060999573,0.6311497365484229
2017-12-05 17:00:00,ETH/USDT,465.98,467.6,463.99,466.02,862.23138,66.4002594539235,0.8342556797222187
2017-12-05 18:00:00,ETH/USDT,466.02,467.64,460.9,462.75,1132.82913,46.45495908957037,0.7230223795908728
2017-12-05 19:00:00,ETH/USDT,462.72,462.72,456.0,460.24,1366.33237,36.387311807068144,0.427406291116597
2017-12-05 20:00:00,ETH/USDT,460.24,462.1,458.61,460.04,1197.36767,35.64859855306982,0.1749731016724354
2017-12-05 21:00:00,ETH/USDT,461.55,461.55,455.08,455.84,1183.63705,23.583429341646564,-0.35983891970602144
2017-12-05 22:00:00,ETH/USDT,455.83,459.51,450.02,455.68,1430.32109,23.224108876563008,-0.7875139915016689
2017-12-05 23:00:00,ETH/USDT,453.52,458.57,451.14,457.37,1127.06013,35.6510545016089,-0.9787977202132652
2017-12-06 00:00:00,ETH/USDT,456.43,458.15,455.12,455.71,1468.4408,29.939142379056477,-1.2499311518794798
2017-12-06 01:00:00,ETH/USDT,456.19,456.68,445.21,451.79,2109.30793,20.59069677675005,-1.7608199527362558
2017-12-06 02:00:00,ETH/USDT,451.49,456.41,448.42,456.39,899.19419,44.84302744719247,-1.7740710650572282
2017-12-06 03:00:00,ETH/USDT,454.83,459.83,454.76,459.0,977.76966,54.33813092201296,-1.5560305283848948
2017-12-06 04:00:00,ETH/USDT,459.0,459.89,453.1,454.98,705.43095,41.222243109143655,-1.6881522671358766
2017-12-06 05:00:00,ETH/USDT,454.99,459.86,453.21,459.46,747.69796,55.56546817222618,-1.4150493300645053
2017-12-06 06:00:00,ETH/USDT,458.71,462.0,455.5,461.97,765.66341,61.82807094993992,-0.9847259539537845
2017-12-06 07:00:00,ETH/USDT,461.1,462.0,453.97,456.01,724.47437,44.11265833438844,-1.1117976569557868
2017-12-06 08:00:00,ETH/USDT,456.01,457.8,452.01,452.26,1038.22792,36.26679102000469,-1.4978304993994698
2017-12-06 09:00:00,ETH/USDT,452.26,454.02,450.0,450.01,1308.23922,32.149727885130716,-1.9626957691272082
